ph,tds,humidity,roomtemp,watertemp
6.95,798,72.01,18.14,21
6.74,769,65.38,18.47,21.49
6.53,758,62.14,18.7,21.57
6.3,757,61.61,19.19,21.81
6.23,739,58.89,20.17,22.54
5.87,737,58.55,23.94,23.23
5.38,730,54.88,24.63,24.24
5.47,743,51.49,22.95,24.99
5.49,762,54.86,22.86,24.6
5.7,769,65.12,21.83,23.89
5.73,769,66.37,21.77,21.67
6.24,777,67.89,21.25,21.33
6.7,786,69.97,18.61,20.58
6.8,799,72.52,18.26,19.12
6.87,767,74.6,19.02,20.22
5.99,747,72.03,19.74,20.24
5.98,745,70.68,22,21.37
5.47,739,62.87,22.25,22.91
5.27,726,56.51,22.64,23.2
5.24,719,53.2,22.72,23.69
5.11,707,51.63,23.54,23.78
6.35,704,56.59,24.61,24.97
6.45,731,59.73,23.93,23.99
6.64,732,61.18,23.24,23.65
6.75,764,65.35,19.96,19.65
6.75,787,66.55,19.75,19.44
6.96,793,71.05,19.64,18.95
6.97,794,73.36,18.55,18.66
6.88,778,70.12,18.58,18.11
6.82,772,67.33,20.48,19.04
6.71,757,66.18,20.98,21.19
6.53,752,63.74,21.13,21.42
6.36,736,56.92,22.43,22.18
5.81,722,52.54,23.99,22.39
5.58,710,52.44,24.07,24.61
5.17,706,50.01,24.94,23.23
5.29,720,52.64,23.65,22.77
5.34,745,54.32,22.47,22.45
5.71,759,59.13,19.15,21.55
6.02,760,65.2,18.94,19.98
6.66,778,68.38,18.54,18.21
6.98,797,72.11,18.09,18.04
6.84,795,71.8,18.42,18.52
6.66,790,70.12,18.43,19.37
6.63,786,69.69,18.93,21.28
6.62,781,68.92,23.29,21.43
6.17,768,58.06,24.1,21.46
6.06,758,52.53,24.9,21.65
5.56,754,52.51,25,24.92
